,href,title,description
54,https://www.crowdfunder.co.uk/place-a-trade-give-the-world-a-shot,"Place a trade, Give the world a shot",On 23 November 2021 nabtrade is donating brokerage to UNICEF’s Give the World a Shot Campaign.
55,https://www.crowdfunder.co.uk/thewavebristol,The Wave Bristol,"Creating a beautiful inland surfing destination and fusing surfing, outdoors & education for people of all ages, abilities and backgrounds."
56,https://www.crowdfunder.co.uk/nctbs-crew-fundraiser,OVER 100 NICK CAVE & THE BAD SEEDS PRIZES TO WIN,"Nick Cave & The Bad Seeds are raising funds to help support their live crew, whose livings have been heavily impacted by Covid-19."
57,https://www.crowdfunder.co.uk/save-the-bromley-cross,Save The Bromley Cross,"Help us save the Cross Inn, Great Bromley from being turned into houses, so we can re-open it as a thriving,  community-owned, village pub"
58,https://www.crowdfunder.co.uk/the-raven-inn-community-pub,The Raven Inn Community Pub,"To guarantee the future of the Raven, as a community pub. To completely renovate this historic building back to its former use & glory."
59,https://www.crowdfunder.co.uk/hcgc,Invest and grow Hulme Community Garden Centre,From Parking Lot to Paradise: help the people of Hulme Community Garden Centre grow their indoor space and increase social impact.
60,https://www.crowdfunder.co.uk/clippershares,The Clipper Share Offer,Buy a share in Nudge and be part of bringing The Clipper on Union Street back in to use for long term community benefit.
61,https://www.crowdfunder.co.uk/auctioneers-arms,Help Save The Auctioneers Arms,Caverswall Community Society are aiming to save The Auctioneers Arms through a community share offer.
62,https://www.crowdfunder.co.uk/eiggbrewery,Support a Pioneering Small Island Brewery,We're making pioneering craft beer on the Isle of Eigg for social and environmental good. We need your help to make it happen!
63,https://www.crowdfunder.co.uk/saveoursub,SAVE OUR SUB,Sub Club is at risk of permanent closure.  Help SAVE OUR SUB and keep music & dancing alive - Feel The Future!
64,https://www.crowdfunder.co.uk/gmcr,Greater Manchester Community Renewables,"Buy shares in GMCR to fund solar panels on up to 3 schools in Irlam & Salford and The Fuse in Partington, helping them save money &am..."
65,https://www.crowdfunder.co.uk/qvcuk,QVC UK - Together we can make a difference,Join us in helping to create an immediate and positive change in the lives of those most at risk in our communities.
66,https://www.crowdfunder.co.uk/unlocking-the-warehouse,Unlocking The Warehouse,Help us transform our former Victorian warehouse into a super energy efficient and accessible community building.
67,https://www.crowdfunder.co.uk/savetheduke,Save The Duke Community Shares,"To buy our beautiful historic village pub, re-open it as a community pub and stop the building being converted to housing and lost forever"
68,https://www.crowdfunder.co.uk/get-inn-save-the-cornwood-inn,GET INN!   Save the Cornwood Inn,Let's save this traditional Devon village pub from developers and turn it into a thriving community hub.  STOP PRESS: Tax Relief Eligible!
69,https://www.crowdfunder.co.uk/jack-howard,Jack Howard,"Please help up us to raise £250,000  in order to send Jack to America who desperately needs pioneering cancer treatment"
70,https://www.crowdfunder.co.uk/lionshare,Take your LionShare of our award-winning brewery,"Become an owner of Devon's New Lion Brewery, and help us create one of the very first community-owned breweries in Britain."
71,https://www.crowdfunder.co.uk/sunderland-together,Sunderland Together: Wembley Virtual Tickets,"We may not be together at Wembley, but together we can make a real difference to thousands of lives across the North East."
72,https://www.crowdfunder.co.uk/inclusive-indies,CRISIS FUNDING FOR INCLUSIVE PUBLISHERS,"Help diversity-led independent publishers tell more stories! Representative publishing is in crisis, we want to ensure our future."
73,https://www.crowdfunder.co.uk/for-one-night-only-ed-sheeran,FOR ONE NIGHT ONLY – ED SHEERAN,Win 2 tickets for Ed Sheeran at Union Chapel in the charity prize draw and raise money for mental health text support service Shout.
74,https://www.crowdfunder.co.uk/the-felix-project,The Felix Project - a food waste depot for London,"Crowdfunding a new depot for the Felix Project, to stop the scandal of food poverty and food waste in London."
75,https://www.crowdfunder.co.uk/save-the-ravensbourne-arms,Lewisham's first community owned live music pub!,Sister Midnight is a not-for-profit organisation on a mission to create Lewisham's first community-owned live music pub #SavetheRavensbourne
76,https://www.crowdfunder.co.uk/win-a-home-pateley-bridge,Win A Home & Help Illuminate Stump Cross Caverns,"We are a small family business. We want to protect, preserve this historical treasure, natural attraction to educate our future generations"
77,https://www.crowdfunder.co.uk/save-the-jazz-cafe,Support The Jazz Cafe,The Jazz Cafe is fighting for survival and we need your support.
78,https://www.crowdfunder.co.uk/we-say-no-to-no-deal,OUR LAST CHANCE TO STOP A NO DEAL BREXIT.,The combination of a No Deal Brexit and Covid-19 will have a devastating impact on our NHS and our economy. Chip in to stop a No Deal Brexit
79,https://www.crowdfunder.co.uk/laptopsforlearning,Laptops for Learning Southwark,Help us get laptops to local children by donating today. Over 2500 Southwark pupils are still without access to a computer.
80,https://www.crowdfunder.co.uk/becoming-a-fierce-beer-supporter,Become a Fierce Beer Supporter,"Help us through the COVID crisis by buying rewards, and in effect 'paying it forward'. Become a Fierce supporter!"
81,https://www.crowdfunder.co.uk/calderdalerising,Calderdale Rising,"1,000 businesses were flooded in Calder Valley on Boxing Day. This project is to help 103 of them to get back on their feet & smile a..."
82,https://www.crowdfunder.co.uk/skinners-brewery,Love Cornwall? Love Skinner’s beer? We need YOU!,"NEW GOAL: To give back to the community by creating an outdoor eating, drinking & events space at the brewery, a game-changer for us & Truro"
83,https://www.crowdfunder.co.uk/fierce-beer-new-brewery,FIERCE BEER: NEW BREWERY,"FIERCE BEER are looking to move to a new premises in April 2022, and need your help!"
84,https://www.crowdfunder.co.uk/wigginton-village-shop,Wigginton Village Shop,"To build a community run village shop on the sports field in Wigginton Village, run by the community for the benefit of the whole community."
85,https://www.crowdfunder.co.uk/edinburghzoo,Support Edinburgh Zoo by planning your next visit!,"You can still support your zoo by donating, adopting an animal or becoming a member www.edinburghzoo.org.uk/support-us."
86,https://www.crowdfunder.co.uk/support-stanfords,Support Stanfords Map and Travel Bookshop,We sell maps and travel books in Covent Garden. Travel is restricted and London is empty. We need your support to pay staff and expenses.
87,https://www.crowdfunder.co.uk/brexitjustice,#BrexitJustice,Prosecute dishonest Brexit politicians and bring integrity back to British politics.#BrexitJustice
88,https://www.crowdfunder.co.uk/the-social,Save The Social,We've stopped the immediate sale of The Social. Now we're trying to buy a big enough chunk of the lease to secure the future of the bar.
89,https://www.crowdfunder.co.uk/mental-health-matters-gugb,Mental Health Matters,"This year the Property Entrepreneurs and I will be walking 150 million steps in 12 weeks as we aim to raise £150,000."
