,href,title,description,location,tags,upd,comm,supp,rewards_num,money,rate,days,status
28,https://www.crowdfunder.co.uk/thelink,The Link - church & community hub for Ashbourne,Our church and community hub will make a significant contribution to the revitalization of Ashbourne town centre as part of Ashbourne Reborn,"Ashbourne, Derbyshire, United Kingdom","['Community', 'Music']",1,19,49,0,50000,0.32,null,funding
29,https://www.crowdfunder.co.uk/wigtonclubhub,Wigton Club Hub,Improve community facilities for all users of the club.,"Wigton, Cumbria, United Kingdom","['Community', 'Sports']",6,34,145,27,null,null,null,funding
30,https://www.crowdfunder.co.uk/perivale-taproom-transformation,Perivale Taproom Transformation,"We want to transform our taproom on Horsenden Farm.  Creating a covered, heated area you can enjoy our beers in all year round.","Greenford, Greater London, United Kingdom","['Food and Drink', 'Community']",4,126,244,10,16678,null,28,funding
31,https://www.crowdfunder.co.uk/help-us-save-scotts-sustainable-woodland,Save Scott's sustainable woodland business...,help get a pioneering sustainable forestry and woodcraft business back on its feet after a huge fire ripped out the heart of his operation.,"Swansea, United Kingdom","['Personal Causes', 'Community']",1,63,120,3,75000,0.2,null,funding
32,https://www.crowdfunder.co.uk/winasone,We must Win As One and change politics for good,"Donate to our fighting fund. Not just to change the government, but to change politics - starting with Proportional Representation.",United Kingdom,"['Community', 'Politics']",1,94,377,0,30000,0.51,null,funding
33,https://www.crowdfunder.co.uk/almanaccafeonewithnature,Almanac Cafe - One with Nature,"Help us build Almanac, a beautiful new cafe for Plymouth featuring fresh locally grown foods to guide you on adventures through the seasons","Plymouth, United Kingdom","['Food and Drink', 'Environment']",0,49,126,12,15289,null,28,funding
34,https://www.crowdfunder.co.uk/of-the-land,Of the Land by Gartur Stitch Farm,Spend a penny to spend a penny! Help us upgrade our loo facilities and event barn to make visits more comfortable.,"Stirling, United Kingdom","['Creative & Arts', 'Environment']",3,79,197,24,16297,null,32,funding
35,https://www.crowdfunder.co.uk/six-inches-of-soil-post-production,Six Inches of Soil Film - Post Production,Help us complete the first major documentary feature film about the regenerative farming revolution in Britain.,"Cambridge, Cambridgeshire, United Kingdom","['Food and Drink', 'Environment']",5,63,131,19,30000,0.49,null,funding
36,https://www.crowdfunder.co.uk/urgent-help-needed-now-for-ukraine-children,URGENT: Help Ukraine's Children,Children in Ukraine are suffering and so is their education. Schools have been hit by missiles. They desperately need your support,"Richmond, Greater London, United Kingdom","['Environment', 'Charities']",0,40,81,0,50000,0.27,null,funding
37,https://www.crowdfunder.co.uk/lisburn-bmx-club-revitalization,Lisburn BMX Club Revitalization,Our project is aimed at enhancing biodiversity through the revitalization of areas within the facility,"Lisburn, Northern Ireland, United Kingdom","['Community', 'Environment']",0,11,42,26,20000,1.35,null,funding
